name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Yanni Gourde,Yanni,Gourde_SEA,Gourde,C,0,2022-11-29,SEA,LAK,1.5,6,2.9,3300,0,9.3,4.9,1.48,3.3000000000000003,4.65,14.330000000000002
Blake Lizotte,Blake,Lizotte_LAK,Lizotte,C,0,2022-11-29,LAK,SEA,-1.5,6,3.1,2700,0,11.5,4,1.48,2.7,5.75,13.93
Tanner Laczynski,Tanner,Laczynski_PHI,Laczynski,C,2,2022-11-29,PHI,NYI,1.5,6,2.6,2500,0,12.8,3.4,1.36,2.5,6.4,13.66
Morgan Frost,Morgan,Frost_PHI,Frost,C,1,2022-11-29,PHI,NYI,1.5,6,2.6,3000,1.3,13,3.6,1.2,3,5.85,13.649999999999999
Charlie Coyle,Charlie,Coyle_BOS,Coyle,C,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3200,1.3,11.5,4,1.25,3.2,5.1,13.55
Alex Newhook,Alex,Newhook_COL,Newhook,C,2,2022-11-29,COL,WPG,-1.5,6,3.2,2700,9.3,11.5,7,2.59,2.7,1.0999999999999996,13.39
Rasmus Kupari,Rasmus,Kupari_LAK,Kupari,C,0,2022-11-29,LAK,SEA,-1.5,6,3.1,2500,0,10,4.1,1.64,2.5,5,13.24
Colton Sissons,Colton,Sissons_NSH,Sissons,C,2,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2600,1.3,10,4.4,1.69,2.6,4.35,13.04
Tomas Nosek,Tomas,Nosek_BOS,Nosek,C,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,2500,0,10,3.8,1.52,2.5,5,12.82
Nic Dowd,Nic,Dowd_WSH,Dowd,C,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2500,0,11.5,3,1.2,2.5,5.75,12.45
Paul Stastny,Paul,Stastny_CAR,Stastny,C,2,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,11,2.9,1.16,2.5,5.5,12.06
Noah Cates,Noah,Cates_PHI,Cates,C,1,2022-11-29,PHI,NYI,1.5,6,2.6,2900,0,8,3.8,1.31,2.9,4,12.01
Ryan Strome,Ryan,Strome_ANA,Strome,C,2,2022-11-29,ANA,NSH,1.5,6.5,2.6,4000,0,6.5,3.7,0.93,4,3.25,11.879999999999999
Dominic Toninato,Dominic,Toninato_WPG,Toninato,C,0,2022-11-29,WPG,COL,1.5,6,2.8,2500,0,10.8,2.8,1.12,2.5,5.4,11.82
Nils Aman,Nils,Aman_VAN,Aman,C,0,2022-11-29,VAN,WSH,-1.5,6.5,3.3,2500,0,8,3.4,1.36,2.5,4,11.26
Casey Cizikas,Casey,Cizikas_NYI,Cizikas,C,0,2022-11-29,NYI,PHI,-1.5,6,3.4,2500,1.3,9.5,3.2,1.28,2.5,4.1,11.08
Jake Evans,Jake,Evans_MTL,Evans,C,0,2022-11-29,MTL,SJS,-1.5,6,3,2500,1.3,6.9,3.6,1.44,2.5,2.8000000000000003,10.34
Isac Lundestrom,Isac,Lundestrom_ANA,Lundestrom,C,2,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,0,6.5,3.2,1.28,2.5,3.25,10.229999999999999
Morgan Geekie,Morgan,Geekie_SEA,Geekie,C,0,2022-11-29,SEA,LAK,1.5,6,2.9,2600,0,6.3,3.1,1.19,2.6,3.15,10.04
Cody Glass,Cody,Glass_NSH,Glass,C,2,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2500,0,6,2.5,1,2.5,3,9
Jordan Staal,Jordan,Staal_CAR,Staal,C,0,2022-11-29,CAR,PIT,1.5,6,2.9,2800,1.5,4.3,3.3,1.18,2.8000000000000003,1.4,8.68
Eric Staal,Eric,Staal_FLA,Staal,C,0,2022-11-29,FLA,CGY,1.5,6.5,3,2500,0,4.5,2.7,1.08,2.5,2.25,8.530000000000001
Lars Eller,Lars,Eller_WSH,Eller,C,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2600,1.5,4.3,3.1,1.19,2.6,1.4,8.29
Vladislav Namestnikov,Vladislav,Namestnikov_TBL,Namestnikov,C,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,2500,2.6,4.5,3.4,1.36,2.5,0.95,8.209999999999999
Steven Lorentz,Steven,Lorentz_SJS,Lorentz,C,0,2022-11-29,SJS,MTL,1.5,6,3,2500,0,1.5,1.8,0.72,2.5,0.75,5.77
Jayson Megna,Jayson,Megna_COL,Megna,C,0,2022-11-29,COL,WPG,-1.5,6,3.2,2500,0,1.3,1.7,0.68,2.5,0.65,5.529999999999999
Alex Ovechkin,Alex,Ovechkin_WSH,Ovechkin,W,1,2022-11-29,WSH,VAN,1.5,6.5,3.2,7700,4.3,38,17.5,2.27,7.7,16.85,44.32
Nikita Kucherov,Nikita,Kucherov_TBL,Kucherov,W,1,2022-11-29,TBL,BOS,1.5,6.5,2.9,8500,4.5,33.5,18,2.12,8.5,14.5,43.12
