name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Rasmus Ristolainen,Rasmus,Ristolainen_PHI,Ristolainen,D,0,2022-11-29,PHI,NYI,1.5,6,2.6,3000,2.6,9.5,4.9,1.63,3,3.45,12.98
Scott Mayfield,Scott,Mayfield_NYI,Mayfield,D,0,2022-11-29,NYI,PHI,-1.5,6,3.4,3200,1.3,8.2,4.8,1.5,3.2,3.4499999999999997,12.95
Matt Irwin,Matt,Irwin_WSH,Irwin,D,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2500,1.3,12.9,3.3,1.32,2.5,5.8,12.920000000000002
Sebastian Aho,Sebastian,Aho_NYI,Aho,D,0,2022-11-29,NYI,PHI,-1.5,6,3.4,2500,0,11.3,3.4,1.36,2.5,5.65,12.91
Nate Schmidt,Nate,Schmidt_WPG,Schmidt,D,2,2022-11-29,WPG,COL,1.5,6,2.8,3100,0,6.9,4.8,1.55,3.1,3.45,12.900000000000002
Radim Simek,Radim,Simek_SJS,Simek,D,0,2022-11-29,SJS,MTL,1.5,6,3,2700,0,11,3.3,1.22,2.7,5.5,12.72
Johnathan Kovacevic,Johnathan,Kovacevic_MTL,Kovacevic,D,0,2022-11-29,MTL,SJS,-1.5,6,3,2500,0,9.5,3.9,1.56,2.5,4.75,12.71
Jaycob Megna,Jaycob,Megna_SJS,Megna,D,0,2022-11-29,SJS,MTL,1.5,6,3,3200,1.3,7.6,4.8,1.5,3.2,3.15,12.649999999999999
Brady Skjei,Brady,Skjei_CAR,Skjei,D,0,2022-11-29,CAR,PIT,1.5,6,2.9,3600,0,5.8,4.6,1.28,3.6,2.9,12.379999999999999
Mattias Ekholm,Mattias,Ekholm_NSH,Ekholm,D,2,2022-11-29,NSH,ANA,-1.5,6.5,3.9,3000,0,7.8,4.1,1.37,3,3.9,12.370000000000001
Josh Mahura,Josh,Mahura_FLA,Mahura,D,0,2022-11-29,FLA,CGY,1.5,6.5,3,2500,0,9.3,3.2,1.28,2.5,4.65,11.63
Justin Braun,Justin,Braun_PHI,Braun,D,0,2022-11-29,PHI,NYI,1.5,6,2.6,2500,0,8.4,3.5,1.4,2.5,4.2,11.6
Dylan DeMelo,Dylan,DeMelo_WPG,DeMelo,D,0,2022-11-29,WPG,COL,1.5,6,2.8,2600,0,7.8,3.6,1.38,2.6,3.9,11.48
Connor Clifton,Connor,Clifton_BOS,Clifton,D,0,2022-11-29,BOS,TBL,-1.5,6.5,3.6,3300,0,5.8,3.8,1.15,3.3000000000000003,2.9,11.15
Trevor van Riemsdyk,Trevor,van Riemsdyk_WSH,van Riemsdyk,D,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2800,1.3,8.2,3.5,1.25,2.8000000000000003,3.4499999999999997,11
Nick Seeler,Nick,Seeler_PHI,Seeler,D,0,2022-11-29,PHI,NYI,1.5,6,2.6,2800,0,5.8,3.8,1.36,2.8000000000000003,2.9,10.86
Will Borgen,Will,Borgen_SEA,Borgen,D,0,2022-11-29,SEA,LAK,1.5,6,2.9,2500,0,6.3,3.6,1.44,2.5,3.15,10.69
Simon Benoit,Simon,Benoit_ANA,Benoit,D,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2600,2.6,6.9,4,1.54,2.6,2.1500000000000004,10.29
Nathan Beaulieu,Nathan,Beaulieu_ANA,Beaulieu,D,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2700,0,6.5,2.7,1,2.7,3.25,9.65
Jalen Chatfield,Jalen,Chatfield_CAR,Chatfield,D,0,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,5.8,2.9,1.16,2.5,2.9,9.46
Jeremy Lauzon,Jeremy,Lauzon_NSH,Lauzon,D,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2500,1.3,5.6,3.4,1.36,2.5,2.15,9.41
Calvin de Haan,Calvin,de Haan_CAR,de Haan,D,0,2022-11-29,CAR,PIT,1.5,6,2.9,2500,0,5.6,2.9,1.16,2.5,2.8,9.36
Pierre-Olivier Joseph,Pierre-Olivier,Joseph_PIT,Joseph,D,2,2022-11-29,PIT,CAR,-1.5,6,3.1,2700,0,5,3,1.11,2.7,2.5,9.309999999999999
Colton White,Colton,White_ANA,White,D,0,2022-11-29,ANA,NSH,1.5,6.5,2.6,2500,1.3,6.3,3,1.2,2.5,2.5,9.2
Erik Cernak,Erik,Cernak_TBL,Cernak,D,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,3000,0,4.1,2.9,0.97,3,2.05,8.92
Marc-Edouard Vlasic,Marc-Edouard,Vlasic_SJS,Vlasic,D,0,2022-11-29,SJS,MTL,1.5,6,3,2600,0,5,2.7,1.04,2.6,2.5,8.84
Nick Cicek,Nick,Cicek_SJS,Cicek,D,0,2022-11-29,SJS,MTL,1.5,6,3,2500,0,5,2.6,1.04,2.5,2.5,8.64
Martin Fehervary,Martin,Fehervary_WSH,Fehervary,D,0,2022-11-29,WSH,VAN,1.5,6.5,3.2,2600,2.8,4.3,3.8,1.46,2.6,0.75,8.61
Alexandre Carrier,Alexandre,Carrier_NSH,Carrier,D,0,2022-11-29,NSH,ANA,-1.5,6.5,3.9,2600,1.3,4.3,3.2,1.23,2.6,1.5,8.53
Samuel Girard,Samuel,Girard_COL,Girard,D,2,2022-11-29,COL,WPG,-1.5,6,3.2,2900,0,4.3,2.4,0.83,2.9,2.15,8.28
Marc Staal,Marc,Staal_FLA,Staal,D,0,2022-11-29,FLA,CGY,1.5,6.5,3,2800,1.3,3,2.9,1.04,2.8000000000000003,0.85,7.590000000000001
Brian Dumoulin,Brian,Dumoulin_PIT,Dumoulin,D,0,2022-11-29,PIT,CAR,-1.5,6,3.1,2600,1.3,2.8,2.5,0.96,2.6,0.7499999999999999,6.81
Cal Foote,Cal,Foote_TBL,Foote,D,0,2022-11-29,TBL,BOS,1.5,6.5,2.9,2500,0,2.8,2,0.8,2.5,1.4,6.7
